05/2012;LA CAPITAL;SANTA FE;77
06/2012;LA CAPITAL;SANTA FE;11
07/2012;LA CAPITAL;SANTA FE;10
08/2012;LA CAPITAL;SANTA FE;148
09/2012;LA CAPITAL;SANTA FE;82
10/2012;LA CAPITAL;SANTA FE;244
11/2012;LA CAPITAL;SANTA FE;114
12/2012;LA CAPITAL;SANTA FE;232
01/2013;LA CAPITAL;SANTA FE;52
02/2013;LA CAPITAL;SANTA FE;19
03/2013;LA CAPITAL;SANTA FE;111
04/2013;LA CAPITAL;SANTA FE;215
05/2013;LA CAPITAL;SANTA FE;16
06/2013;LA CAPITAL;SANTA FE;17
07/2013;LA CAPITAL;SANTA FE;0
08/2013;LA CAPITAL;SANTA FE;8
09/2013;LA CAPITAL;SANTA FE;8
10/2013;LA CAPITAL;SANTA FE;79
11/2013;LA CAPITAL;SANTA FE;242
12/2013;LA CAPITAL;SANTA FE;62
01/2014;LA CAPITAL;SANTA FE;144
02/2014;LA CAPITAL;SANTA FE;257
03/2014;LA CAPITAL;SANTA FE;183
04/2014;LA CAPITAL;SANTA FE;102
05/2014;LA CAPITAL;SANTA FE;30
06/2014;LA CAPITAL;SANTA FE;13
07/2014;LA CAPITAL;SANTA FE;47
08/2014;LA CAPITAL;SANTA FE;0
09/2014;LA CAPITAL;SANTA FE;91
10/2014;LA CAPITAL;SANTA FE;42
11/2014;LA CAPITAL;SANTA FE;74
12/2014;LA CAPITAL;SANTA FE;75
01/2015;LA CAPITAL;SANTA FE;173
02/2015;LA CAPITAL;SANTA FE;209
03/2015;LA CAPITAL;SANTA FE;161
04/2015;LA CAPITAL;SANTA FE;0
05/2015;LA CAPITAL;SANTA FE;0
06/2015;LA CAPITAL;SANTA FE;0
07/2015;LA CAPITAL;SANTA FE;14
08/2015;LA CAPITAL;SANTA FE;81
09/2015;LA CAPITAL;SANTA FE;49
10/2015;LA CAPITAL;SANTA FE;0
11/2015;LA CAPITAL;SANTA FE;63
12/2015;LA CAPITAL;SANTA FE;0
